salePrice,sqFeet,beds,baths,air,garage,pool,year,quality
360,3032,4,4,TRUE,2,FALSE,1972,2
340,2058,4,2,TRUE,2,FALSE,1976,2
250,1780,4,3,TRUE,2,FALSE,1980,2
205.5,1638,4,2,TRUE,2,FALSE,1963,2
275.5,2196,4,3,TRUE,2,FALSE,1968,2
248,1966,4,3,TRUE,5,TRUE,1972,2
229.9,2216,3,2,TRUE,2,FALSE,1972,2
150,1597,2,1,TRUE,1,FALSE,1955,2
195,1622,3,2,TRUE,2,FALSE,1975,3
160,1976,3,3,FALSE,1,FALSE,1918,3
190,2812,7,5,FALSE,2,TRUE,1966,3
559,2791,3,4,TRUE,3,FALSE,1992,1
535,3381,5,4,TRUE,3,FALSE,1988,1
525,3459,5,4,TRUE,2,FALSE,1978,1
299.9,2090,3,3,TRUE,2,FALSE,1987,2
527,3232,5,5,TRUE,2,FALSE,1984,2
169.9,1502,2,2,TRUE,2,FALSE,1956,2
335.25,2747,3,4,TRUE,2,FALSE,1993,2
323.9,2890,4,3,TRUE,2,FALSE,1954,2
200,1825,3,3,TRUE,2,FALSE,1957,2
211,1578,4,3,TRUE,2,FALSE,1986,2
212,1763,3,3,TRUE,2,FALSE,1959,2
245,2517,4,3,TRUE,2,FALSE,1965,2
140.4,1872,3,2,TRUE,2,FALSE,1985,2
295,3266,3,3,TRUE,2,FALSE,1908,2
170.9,2020,1,2,TRUE,1,FALSE,1956,2
229,2164,4,2,TRUE,2,FALSE,1965,2
218.5,2080,3,2,TRUE,2,TRUE,1959,2
160,2208,2,2,TRUE,2,FALSE,1985,2
259,3048,6,4,TRUE,3,FALSE,1960,2
164.5,1460,3,2,TRUE,2,FALSE,1978,2
280,2540,3,2,FALSE,2,FALSE,1940,2
154,2208,2,2,TRUE,2,FALSE,1985,2
272,2560,4,2,TRUE,3,FALSE,1977,2
180,2061,4,2,FALSE,2,FALSE,1958,2
157.5,1980,3,2,TRUE,2,FALSE,1957,2
242.5,3308,5,4,TRUE,2,FALSE,1928,2
182,2616,5,3,FALSE,2,FALSE,1955,3
178,1460,4,2,TRUE,2,FALSE,1961,3
171.9,1580,2,1,FALSE,1,FALSE,1951,3
165.5,1460,3,2,TRUE,2,FALSE,1960,3
183.5,1540,3,2,TRUE,2,FALSE,1992,3
135,1388,2,1,FALSE,2,FALSE,1951,3
175,1624,3,2,TRUE,2,FALSE,1948,3
149.5,1580,2,1,TRUE,2,FALSE,1966,3
177.5,1820,3,2,TRUE,2,FALSE,1960,3
155,1733,4,1,TRUE,1,FALSE,1936,3
145,1896,3,2,FALSE,2,FALSE,1925,3
178,2037.9999999999998,2,2,FALSE,2,FALSE,1918,3
156,1436,3,2,FALSE,3,FALSE,1920,3
159,1690,3,2,FALSE,1,FALSE,1922,3
160,1496,2,2,FALSE,1,FALSE,1900,3
112,1668,2,1,FALSE,1,FALSE,1948,3
84,980,1,1,FALSE,1,FALSE,1951,3
155,2562,3,2,FALSE,2,FALSE,1885,3
360,2304,5,4,TRUE,3,FALSE,1978,2
104,1268,2,1,FALSE,1,FALSE,1947,3
420,2283,3,3,TRUE,3,FALSE,1997,1
355,2060,2,3,TRUE,2,FALSE,1997,2
165,2087,2,2,TRUE,2,FALSE,1966,2
244,2081,4,2,TRUE,2,FALSE,1980,2
179.9,1696,3,3,TRUE,2,FALSE,1978,2
253,2222,4,2,FALSE,2,FALSE,1955,2
200,2110,5,3,TRUE,2,FALSE,1957,2
200,1774,4,2,FALSE,2,FALSE,1963,3
147.7,1592,3,2,TRUE,2,FALSE,1957,3
188.7,1748,3,2,TRUE,2,FALSE,1972,3
177,1985,3,1,FALSE,2,FALSE,1948,3
585,2558,2,4,TRUE,3,TRUE,1984,1
549.9,4000,6,5,TRUE,3,TRUE,1979,1
675,3942,4,3,TRUE,2,FALSE,1990,1
830,3889,4,4,TRUE,3,FALSE,1991,1
920,3857,4,5,TRUE,3,FALSE,1997,1
855,4756,4,4,TRUE,3,FALSE,1990,1
585.5,3302,4,3,TRUE,3,FALSE,1982,1
399,2629,3,3,TRUE,2,FALSE,1989,1
790,4418,5,5,TRUE,3,FALSE,1997,1
665,4746,4,4,TRUE,3,FALSE,1996,1
725,3242,3,3,TRUE,3,FALSE,1989,1
647,2464,3,3,TRUE,3,FALSE,1992,1
780,4419,4,5,TRUE,7,FALSE,1987,1
657.5,3877,3,3,TRUE,3,FALSE,1992,1
578,3808,5,4,TRUE,3,FALSE,1982,1
500,3376,5,4,TRUE,2,FALSE,1947,1
484.53,2940,3,3,TRUE,3,TRUE,1979,1
609,2654,5,3,TRUE,3,FALSE,1997,1
635,2672,4,3,TRUE,3,FALSE,1995,1
519,3386,4,4,TRUE,3,FALSE,1994,1
625.1,3648,4,4,TRUE,3,FALSE,1992,1
585.444,3455,4,5,TRUE,3,FALSE,1995,1
399.9,3321,3,4,TRUE,3,TRUE,1971,1
389.9,2817,4,3,TRUE,3,FALSE,1996,1
649,3210,3,5,TRUE,3,FALSE,1995,1
535,3588,4,5,TRUE,3,FALSE,1987,1
640,2705,3,3,TRUE,3,FALSE,1994,1
600,2344,4,3,TRUE,2,FALSE,1925,1
582.5,4264,5,4,TRUE,4,FALSE,1995,1
545,2615,3,3,TRUE,3,FALSE,1996,1
480,3608,6,4,TRUE,3,FALSE,1981,1
595,2479,4,4,TRUE,3,FALSE,1989,1
610,3251,3,4,TRUE,3,TRUE,1985,1
570,2547,2,3,TRUE,3,FALSE,1996,1
479,5032,7,3,TRUE,3,FALSE,1989,1
545,4973,6,6,TRUE,3,TRUE,1987,1
335,2582,4,3,TRUE,2,FALSE,1966,1
629,3139,6,4,TRUE,2,TRUE,1977,1
505.5,3516,4,4,TRUE,3,FALSE,1979,1
370,2936,4,4,TRUE,3,FALSE,1987,1
529,3351,5,4,TRUE,3,FALSE,1994,1
490,3136,4,4,TRUE,3,FALSE,1989,1
535,3525,4,5,TRUE,3,FALSE,1996,1
612,3917,6,5,TRUE,3,FALSE,1995,1
442.5,2702,4,3,TRUE,3,FALSE,1991,1
500,3644,3,4,TRUE,3,FALSE,1984,1
539,3072,4,4,TRUE,3,FALSE,1992,1
545.5,3233,4,4,TRUE,3,FALSE,1991,1
424,2918,4,4,TRUE,3,FALSE,1988,1
325,3266,4,3,TRUE,3,FALSE,1985,1
367,2940,4,7,TRUE,2,FALSE,1988,1
470,3430,3,4,TRUE,2,TRUE,1966,1
393,2472,4,4,TRUE,3,FALSE,1987,1
530,2878,4,4,TRUE,3,FALSE,1992,1
400,2537,3,3,TRUE,2,FALSE,1993,1
403.5,3858,4,4,TRUE,3,FALSE,1987,1
550,2742,3,3,TRUE,3,FALSE,1991,1
380,3460,5,4,TRUE,2,FALSE,1972,1
500,3836,5,4,TRUE,3,FALSE,1982,1
465,4453,7,5,TRUE,2,FALSE,1974,1
451.5,4080,5,4,TRUE,3,FALSE,1983,1
336,3301,3,4,TRUE,2,FALSE,1977,1
550,3828,4,5,TRUE,2,TRUE,1975,1
450,2973,4,3,TRUE,2,FALSE,1980,2
440,2821,5,4,TRUE,2,TRUE,1962,2
515,2950,5,3,TRUE,2,FALSE,1969,2
415,2362,3,3,TRUE,2,FALSE,1977,2
380,3092,3,4,TRUE,2,FALSE,1978,2
489.5,2866,4,4,FALSE,2,FALSE,1982,2
478,3369,5,4,TRUE,3,FALSE,1981,2
460,3068,4,4,TRUE,3,FALSE,1988,2
379.9,2380,3,3,TRUE,3,FALSE,1998,2
390,2225,2,3,TRUE,3,FALSE,1997,2
338,2655,3,3,TRUE,2,FALSE,1948,2
675,3855,4,4,TRUE,3,FALSE,1996,2
440,2892,4,4,TRUE,2,FALSE,1977,2
500,3832,4,3,TRUE,2,FALSE,1952,2
470,3164,6,4,TRUE,2,FALSE,1982,2
317.5,2620,3,2,TRUE,3,FALSE,1925,2
430,3076,6,4,TRUE,3,FALSE,1984,2
430,4022.0000000000005,6,4,TRUE,3,FALSE,1986,2
475,3377,4,3,TRUE,3,FALSE,1997,2
389,2858,5,4,TRUE,1,FALSE,1989,2
400,3540,4,4,TRUE,3,TRUE,1980,2
395,3045,4,3,TRUE,1,FALSE,1991,2
395,4150,4,3,FALSE,3,FALSE,1934,2
296,1778,2,2,TRUE,2,FALSE,1991,2
387.5,2412,2,3,TRUE,3,FALSE,1986,2
353,2668,4,3,TRUE,2,FALSE,1978,2
350,2274,4,3,TRUE,3,FALSE,1986,2
437.632,2936,4,3,TRUE,3,FALSE,1980,2
447.5,2526,2,2,TRUE,0,FALSE,1996,2
318.5,2449,4,4,TRUE,2,FALSE,1985,2
352,3131,4,4,TRUE,2,FALSE,1988,2
295,2536,3,3,TRUE,3,FALSE,1987,2
313.5,3314,2,3,TRUE,3,FALSE,1984,2
330,2230,3,2,TRUE,2,FALSE,1986,2
400,2631,4,4,FALSE,2,FALSE,1985,2
325,2638,4,3,TRUE,2,FALSE,1978,2
340,2756,4,3,TRUE,2,TRUE,1973,2
399.9,3262,5,4,TRUE,2,FALSE,1978,2
249.9,1936,4,4,TRUE,3,FALSE,1987,2
389,3148,4,4,TRUE,3,TRUE,1969,2
364.5,2616,3,4,TRUE,2,FALSE,1977,2
357.5,3630,4,3,TRUE,2,FALSE,1969,2
295,1954,3,3,TRUE,3,TRUE,1962,2
274.5,1926,5,3,TRUE,2,FALSE,1986,2
259,2556,3,2,TRUE,2,FALSE,1957,2
415,2282,5,4,TRUE,2,FALSE,1987,2
443,3314,3,4,TRUE,3,FALSE,1986,2
249,2001,3,3,TRUE,2,FALSE,1981,2
330,2607,5,2,TRUE,2,FALSE,1976,2
291,2840,4,4,TRUE,2,FALSE,1965,2
418,3036,3,5,FALSE,2,FALSE,1977,2
320,2240,4,2,TRUE,3,FALSE,1974,2
264,1788,3,3,FALSE,2,FALSE,1969,2
381,2620,5,4,TRUE,2,FALSE,1965,2
250,1480,3,3,TRUE,2,FALSE,1984,2
360,2588,3,3,TRUE,2,TRUE,1968,2
369.5,3138,4,4,TRUE,2,FALSE,1969,2
285.4,2460,5,4,TRUE,2,FALSE,1979,2
409,3566,4,4,TRUE,2,FALSE,1976,2
333,2692,5,4,TRUE,3,FALSE,1984,2
362,2958,5,4,TRUE,3,FALSE,1987,2
387.5,3164,4,4,TRUE,2,TRUE,1966,2
239,2058,3,3,TRUE,2,FALSE,1969,2
299.9,2717,3,4,TRUE,2,FALSE,1983,2
335,2920,4,3,TRUE,3,FALSE,1987,2
275,2554,5,3,TRUE,2,FALSE,1960,2
328,2805,3,4,TRUE,2,FALSE,1988,2
333,2736,4,3,TRUE,2,TRUE,1979,2
397,3516,5,7,TRUE,3,FALSE,1996,2
